step,displacement_mm,load_factor,load_n,normalized_residual,normalized_arc_constraint_error,iterations,accepted_step_size,rejected_attempts,minimum_tangent_eigenvalue,predictor_load_increment,predictor_orientation,predictor_root_sign
30,17.51811800940729,24.327197564387625,24327.197564387625,1.929113556432962e-14,2.220446049250313e-16,4,1.0,0,1198.212213945026,0.7712804341301496,0.9999962900732295,1
31,18.161014665731297,25.093150493285613,25093.15049328561,2.218178054740353e-14,2.6645352591003757e-15,4,1.0,0,1184.612707733001,0.7677515977711301,0.9999961616229165,1
32,18.808243470978795,25.855446284732672,25855.446284732672,7.316636343673293e-15,8.881784197001252e-16,4,1.0,0,1170.9622969977597,0.764137894324643,0.9999960280734244,1
33,19.45985826672514,26.61399632129219,26613.99632129219,5.331073611183519e-15,2.220446049250313e-15,4,1.0,0,1157.260749677765,0.7604368429414099,0.9999958892172645,1
34,20.1159132756855,27.36870939605506,27368.70939605506,6.3803879172166036e-15,3.3306690738754696e-15,4,1.0,0,1143.5078480176144,0.756645890654143,0.9999957448400383,1
35,20.776463064721057,28.11949163892251,28119.49163892251,1.0479431390805796e-14,8.881784197001252e-16,4,1.0,0,1129.7033898015823,0.7527624112774449,0.9999955947205084,1
36,21.441562503988386,28.866246441977896,28866.246441977895,1.3106996668168434e-14,3.3306690738754696e-15,4,1.0,0,1115.8471896612973,0.7487837044297705,0.9999954386306267,1
37,22.1112667219658,29.608874384101853,29608.87438410185,1.4744142286118453e-14,3.3306690738754696e-15,4,1.0,0,1101.9390804609477,0.7447069946977445,0.9999952763357087,1
38,22.785631056076642,30.34727315501039,30347.273155010393,1.4265514922299758e-14,1.1102230246251565e-15,4,1.0,0,1087.9789147633837,0.7405294309651274,0.999995107594593,1
39,23.46471099862134,31.0813374789177,31081.3374789177,2.5750350611618673e-15,1.3322676295501878e-15,4,1.0,0,1073.966566380569,0.7362480859308751,0.9999949321599073,1
40,24.148562137725246,31.810959038047013,31810.959038047014,1.1436243725756784e-16,2.220446049250313e-15,4,1.0,0,1059.9019320118243,0.7318599558430606,0.9999947497783925,1
41,24.837240092976597,32.53602639626335,32536.02639626335,8.497853609152582e-15,2.220446049250313e-15,4,1.0,0,1045.7849329733108,0.727361960477876,0.9999945601913225,1
42,25.530800445449064,33.25642492310684,33256.42492310684,4.375670344005035e-16,1.7763568394002505e-15,4,1.0,0,1031.6155170217864,0.7227509433955298,0.999994363134993,1
43,26.22929866176151,33.97203671857162,33972.036718571624,2.355923915278955e-15,1.2212453270876722e-15,4,1.0,0,1017.3936602763678,0.7180236725074471,0.9999941583413634,1
44,26.932790011852013,34.68274053898336,34682.74053898336,1.888075091818287e-15,3.774758283725532e-15,4,1.0,0,1003.1193692406509,0.7131768409922737,0.9999939455387508,1
45,27.641329480103806,35.388411724401514,35388.411724401514,3.0840424561211964e-15,3.4416913763379853e-15,4,1.0,0,988.7926829288139,0.7082070686007087,0.9999937244527302,1
46,28.35497166948874,36.08892212798584,36088.92212798584,1.814507462855764e-15,3.885780586188048e-15,4,1.0,0,974.413675097515,0.7031109033926959,0.9999934948070986,1
47,29.07377069836095,36.78414004784433,36784.14004784433,8.703265445587854e-15,2.220446049250313e-16,4,1.0,0,959.9824565866355,0.6978848239530461,0.9999932563250693,1
48,29.79778008955894,37.473930161905926,37473.930161905926,5.630654961987754e-15,5.995204332975845e-15,4,1.0,0,945.499177770087,0.6925252421352025,0.9999930087305838,1
49,30.52705265146122,38.15815346643193,38158.15346643193,1.7161107804982584e-15,4.440892098500626e-16,4,1.0,0,930.9640311186565,0.687028506385433,0.9999927517498393,1
50,31.261640350657025,38.83666721882772,38836.66721882772,5.6204289414330304e-15,2.220446049250313e-16,4,1.0,0,916.3772538753728,0.6813909057032039,0.9999924851130357,1
51,32.00159417589788,39.50932488548397,39509.32488548397,4.235633628548856e-15,1.1102230246251565e-15,4,1.0,0,901.7391308439127,0.6756086742960428,0.9999922085562942,1
52,32.74696399301957,40.1759760954311,40175.976095431106,3.0787373814468266e-15,4.440892098500626e-16,4,1.0,0,887.0499972895595,0.6696779969901806,0.999991921823863,1
53,33.49779839054464,40.836466600656706,40836.466600656706,1.7817304531598283e-15,4.218847493575595e-15,4,1.0,0,872.3102419510612,0.6635950154606174,0.9999916246705427,1
54,34.25414451569334,41.490638244013816,41490.63824401382,5.260915176618079e-15,1.4432899320127035e-15,4,1.0,0,857.5203101614803,0.6573558353462239,0.9999913168644212,1
55,35.016047900584034,42.13832893569628,42138.32893569628,6.3887306052312655e-15,4.218847493575595e-15,4,1.0,0,842.6807070744687,0.6509565343174207,0.9999909981898203,1
56,35.7835522784315,42.7793726393429,42779.3726393429,6.9733201722357614e-15,5.773159728050814e-15,4,1.0,0,827.7920009911131,0.644393171164793,0.9999906684506357,1
57,36.55669938961115,43.41359936889202,43413.59936889202,6.368658516185743e-15,5.10702591327572e-15,4,1.0,0,812.8548267817803,0.6376617959773028,0.9999903274738862,1
58,37.335528777515556,44.04083519737796,44040.83519737796,5.617117790194969e-15,4.440892098500626e-15,4,1.0,0,797.8698893949428,0.6307584614785137,0.9999899751136567,1
59,38.120077574199925,44.660902278927296,44660.90227892729,2.606649572367999e-15,3.552713678800501e-15,4,1.0,0,782.8379674440919,0.6236792355872603,0.9999896112553202,1
60,38.910380275896344,45.273618885272626,45273.618885272626,3.5356366787835025e-15,2.886579864025407e-15,4,1.0,0,767.759916861495,0.6164202152667793,0.9999892358201097,1
61,39.70646850857065,45.87879945815769,45878.799458157686,3.647589455317862e-15,6.994405055138486e-15,4,1.0,0,752.6366746058186,0.6089775417218977,0.9999888487699466,1
62,40.50837078379499,46.47625467906552,46476.25467906552,5.479325265233245e-15,6.439293542825908e-15,4,1.0,0,737.4692624082944,0.6013474169982264,0.9999884501126877,1
63,41.31611224533716,47.06579155773022,47065.79155773022,3.710189013313662e-15,3.774758283725532e-15,4,1.0,0,722.2587905400711,0.5935261220296107,0.999988039907538,1
64,42.12971440698987,47.647213540935226,47647.21354093523,2.1378670236624413e-15,3.1086244689504383e-15,4,1.0,0,707.0064615806061,0.5855100361706415,0.999987618270813,1
65,42.94919488230966,48.22032064311565,48220.32064311565,5.582924960562691e-15,4.9960036108132044e-15,4,1.0,0,691.7135741646716,0.5772956582390252,0.9999871853818758,1
66,43.77456710709689,48.7849096002781,48784.9096002781,5.369170021155685e-15,4.440892098500626e-15,4,1.0,0,676.3815266827082,0.568879629078543,0.9999867414892893,1
67,44.605840055607466,49.340774048749616,49340.77404874961,2.064487405445342e-15,6.661338147750939e-15,4,1.0,0,661.0118209067037,0.5602587556364271,0.9999862869170995,1
68,45.44301795167831,49.887704730217024,49887.704730217025,3.79201446512302e-15,3.9968028886505635e-15,4,1.0,0,645.6060655106064,0.551430036529561,0.9999858220710813,1
69,46.286099976135915,50.4254897244633,50425.489724463296,1.0388970956628274e-14,3.1086244689504383e-15,4,1.0,0,630.1659794518681,0.5423906890513389,0.9999853474450613,1
70,47.1350799720565,50.95391471112335,50953.914711123354,8.710487054457843e-15,0.0,4,1.0,0,614.6933951777803,0.5331381775459977,0.9999848636270535,1
71,47.98994614965604,51.47276326166229,51472.76326166229,6.926418954478998e-15,4.440892098500626e-16,4,1.0,0,599.1902616175283,0.5236702430490422,0.9999843713051285,1
72,48.8506807928031,51.981817162626136,51981.81716262614,3.499280138389761e-15,2.220446049250313e-16,4,1.0,0,583.6586469185362,0.5139849340614909,0.9999838712729238,1
73,49.717259969355055,52.48085677104066,52480.856771040664,6.516090416712107e-15,4.440892098500626e-15,4,1.0,0,568.1007408832955,0.5040806382923521,0.999983364434631,1
74,50.58965324773288,52.9696614026075,52969.6614026075,2.747216962132689e-16,5.10702591327572e-15,4,1.0,0,552.5188570607854,0.4939561151680359,0.9999828518092958,1
75,51.467823422352446,53.44800975308929,53448.00975308929,5.581391403714079e-15,0.0,4,1.0,0,536.9154344454965,0.4836105288698826,0.9999823345342731,1
76,52.35172625071819,53.91568035298524,53915.68035298524,3.3737669480139304e-15,1.9984014443252818e-15,4,1.0,0,521.2930387352905,0.4730434816226419,0.9999818138676285,1
77,53.24131020516622,54.37245205524863,54372.45205524863,4.148326542464865e-15,2.1094237467877974e-15,4,1.0,0,505.6543630993636,0.4622550469171425,0.9999812911893683,1
78,54.13651624238336,54.818104555443554,54818.104555443555,7.0346422350611555e-15,4.551914400963142e-15,4,1.0,0,490.0022284075479,0.45124580231198813,0.9999807680012484,1
79,55.03727759396124,55.25241894330514,55252.418943305136,7.901146505440061e-16,1.2212453270876722e-15,4,1.0,0,474.3395828729741,0.4400168614216593,0.9999802459249685,1
80,55.94351958131728,55.675178284246265,55675.17828424626,3.920575293196079e-16,1.1102230246251565e-15,4,1.0,0,458.66950106221014,0.42856990466354583,0.9999797266986864,1
81,56.855159458366124,56.08616822886094,56086.168228860945,2.5945639875035517e-16,2.220446049250313e-15,4,1.0,0,442.99518222921125,0.4169072083057799,0.9999792121715257,1
82,57.772106285306194,56.48517764800357,56485.17764800357,1.0304944294625003e-15,4.440892098500626e-16,4,1.0,0,427.3199479337203,0.4050316713317611,0.9999787042961304,1
83,58.69426083683348,56.87199929049208,56871.99929049208,1.279356749359052e-16,5.88418203051333e-15,4,1.0,0,411.64723890869413,0.3929468396187696,0.9999782051189625,1
84,59.62151554796616,57.24643045997753,57246.430459977535,1.016791098515075e-15,4.440892098500626e-16,4,1.0,0,395.9806111478046,0.3806569269166544,0.9999777167684472,1
85,60.553754500472,57.608273707020786,57608.27370702079,3.662716433483467e-15,6.772360450213455e-15,4,1.0,0,380.32373119047696,0.36816683211180334,0.9999772414408785,1
86,61.490853452642824,57.95733753190149,57957.33753190149,1.1298589844919402e-15,4.107825191113079e-15,4,1.0,0,364.68037058998897,0.35548215227077984,0.9999767813840023,1
87,62.432679914830906,58.29343709322563,58293.43709322563,8.737124767206837e-15,1.4432899320127035e-15,4,1.0,0,349.0543995586553,0.3426091909795558,0.9999763388786158,1
88,63.37909327276357,58.6163949169838,58616.3949169838,3.7238511296138555e-15,6.106226635438361e-15,4,1.0,0,333.4497797942525,0.32955496152812497,0.9999759162181113,1
89,64.32994496020343,58.92604160030653,58926.04160030653,7.161613611942388e-15,7.549516567451064e-15,4,1.0,0,317.870556502034,0.3163271845379729,0.9999755156862239,1
90,65.28507868198552,59.22221650389341,59222.2165038934,5.0372019115817556e-15,8.881784197001252e-16,4,1.0,0,302.32084963739976,0.30293427969036724,0.9999751395334451,1
91,66.24433068789477,59.50476842683692,59504.76842683692,2.200953646535575e-15,5.329070518200751e-15,4,1.0,0,286.8048444062715,0.2893853512868214,0.9999747899521204,1
92,67.20753009721638,59.77355625744412,59773.55625744412,5.355915810751162e-15,1.2212453270876722e-14,4,1.0,0,271.32678107105954,0.275690167459345,0.9999744690510278,1
93,68.17449927313457,60.02844959361452,60028.44959361452,7.272509281956268e-16,1.2878587085651816e-14,4,1.0,0,255.89094412193185,0.2618591329439881,0.9999741788295687,1
94,69.14505424547035,60.26932932641559,60269.32932641559,4.225341800589839e-15,1.3988810110276972e-14,4,1.0,0,240.501650883646,0.24790325543683558,0.9999739211522233,1
95,70.11900517955972,60.49608818067806,60496.08818067806,1.3229869263113836e-15,8.770761894538737e-15,4,1.0,0,225.16323963911054,0.2338341056629175,0.9999736977239265,1
96,71.09615688839098,60.70863120674139,60708.63120674139,9.468186649819514e-15,4.218847493575595e-15,4,1.0,0,209.88005735946658,0.21966377140433346,0.9999735100664887,1
97,72.07630938446086,60.90687621789678,60906.87621789678,0.0,1.2212453270876722e-14,4,1.0,0,194.65644713916245,0.20540480584898294,0.9999733594972364,1
98,73.0592584671932,61.090754168602224,61090.75416860222,6.193241531989301e-15,4.3298697960381105e-15,4,1.0,0,179.49673544092306,0.19107017073460594,0.9999732471096919,1
99,74.04479634120187,61.2602094691817,61260.209469181704,7.482594879538515e-15,1.176836406102666e-14,4,1.0,0,164.40521926058338,0.17667317486904968,0.9999731737573453,1
100,75.03271226019447,61.41520023342593,61415.20023342593,2.724847016539365e-15,4.440892098500626e-16,4,1.0,0,149.38615332476957,0.1622274087043751,0.9999731400406092,1
101,76.02279319090694,61.55569845633115,61555.69845633115,2.600426467836972e-15,1.1546319456101628e-14,4,1.0,0,134.4437374359535,0.14774667572592892,0.9999731462973304,1
102,77.01482449115656,61.68169012004367,61681.69012004367,1.0616378766568803e-15,3.1086244689504383e-15,4,1.0,0,119.58210407803182,0.13324492148568165,0.999973192597269,1
103,78.00859059589567,61.79317522699374,61793.17522699374,4.003396135147443e-15,9.992007221626409e-15,4,1.0,0,104.80530639329295,0.11873616115833155,0.99997327874053,1
104,79.00387570505823,61.89016776010455,61890.16776010455,1.7634362316772467e-15,6.5503158452884236e-15,4,1.0,0,90.11730663631121,0.10423440652912506,0.9999734042600117,1
105,80.00046446700964,61.97269557088476,61972.69557088476,7.866192613692208e-15,8.881784197001252e-16,4,1.0,0,75.5219652039341,0.08975359333096429,0.9999735684279575,1
106,80.99814265154048,62.04080019709499,62040.80019709499,3.752863324041569e-15,1.0436096431476471e-14,4,1.0,0,61.023030331932524,0.07530750983672707,0.9999737702662942,1
107,81.99669780657952,62.09453661254069,62094.536612540694,1.5232813407497357e-15,2.220446049250313e-16,4,1.0,0,46.624128539185826,0.060909727580043496,0.9999740085604889,1
108,82.99591989313494,62.13397291231428,62133.972912314275,4.332741318581143e-15,3.3306690738754696e-16,4,1.0,0,32.328755888974925,0.04657353502619121,0.9999742818767228,1
109,83.9956018933923,62.15918993754395,62159.189937543946,4.0968763710127754e-15,1.5543122344752192e-15,4,1.0,0,18.140270125210673,0.032311874945469735,0.9999745885817904,1
110,84.99554038739443,62.17028084430396,62170.28084430396,1.4043927449653878e-15,6.994405055138486e-15,4,1.0,0,4.06188372849809,0.018137286157734845,0.9999749268653468,1
111,85.99553609428351,62.16735062188557,62167.35062188557,2.34076490035333e-15,1.354472090042691e-14,4,1.0,0,-9.90334207578294,0.0040618502206071685,0.999975294763944,1
112,86.99539437468827,62.15051556601926,62150.51556601926,2.107259060726241e-15,2.9976021664879227e-15,4,1.0,0,-23.75250233830002,-0.009902856470501226,-0.9999756901862993,-1
113,87.9949256914701,62.11990271296085,62119.90271296085,3.982339766778514e-15,1.1879386363489175e-14,4,1.0,0,-37.48285242911055,-0.023745804812507883,-0.9999761109392186,-1
114,88.99394602668733,62.07564924052686,62075.64924052686,3.2819119202080023e-15,1.7763568394002505e-15,4,1.0,0,-51.091811109344675,-0.03745654910890588,-0.9999765547538039,-1
115,89.99227725328176,62.01790184226106,62017.90184226106,2.8156867219491826e-15,8.881784197001252e-15,4,1.0,0,-64.57696264819239,-0.05102525703299878,-0.9999770193111921,-1
116,90.98974746062088,61.946816080881916,61946.816080881916,2.3490981698505532e-15,4.440892098500626e-16,4,1.0,0,-77.93605801309549,-0.06444273341148572,-0.9999775022675077,-1
117,91.98619123363108,61.862555727042164,61862.55572704216,3.528446664709747e-16,1.5543122344752192e-15,4,1.0,0,-91.16701516970528,-0.07770043790034376,-0.9999780012776595,-1
118,92.98144988582209,61.76529208923792,61765.29208923792,2.3560020095658812e-15,1.432187701766452e-14,4,1.0,0,-104.26791853689069,-0.0907904967155847,-0.9999785140175761,-1
119,93.97537164701954,61.65520334041152,61655.20334041152,1.0620939511966544e-15,1.3988810110276972e-14,4,1.0,0,-117.23701764832798,-0.10370570866292794,-0.9999790382044971,-1
120,94.96781180708682,61.532473846459844,61532.47384645984,1.300703982026271e-15,7.216449660063518e-15,4,1.0,0,-130.0727250780092,-0.11643954577910755,-0.9999795716153749,-1
121,95.95863281732316,61.397293501460155,61397.29350146015,4.740246482695779e-16,7.327471962526033e-15,4,1.0,0,-142.7736136909035,-0.1289861489548056,-0.9999801121028559,-1
122,96.94770435157037,61.24985707400111,61249.85707400111,6.058362517891706e-15,6.661338147750939e-16,4,1.0,0,-155.33841328307653,-0.14134031895339055,-0.9999806576092908,-1
123,97.93490332934331,61.090363568540674,61090.36356854068,1.786523402996315e-15,1.2878587085651816e-14,4,1.0,0,-167.76600667695558,-0.15349750327196637,-0.999981206178086,-1
124,98.92011390352222,60.91901560524354,60919.015605243534,4.777462368290243e-15,9.547918011776346e-15,4,1.0,0,-180.0554253383321,-0.16545377931133778,-0.9999817559630946,-1
125,99.90322741531011,60.73601882128248,60736.01882128248,4.4324675365526736e-15,1.1324274851176597e-14,4,1.0,0,-192.20584458040466,-0.17720583433129536,-0.9999823052355982,-1
126,100.88414231926454,60.54158129609744,60541.58129609744,0.0,6.8833827526759706e-15,4,1.0,0,-204.216578420147,-0.18875094266641068,-0.9999828523893257,-1
127,101.86276408127307,60.33591300266524,60335.913002665235,8.441357852169092e-16,5.662137425588298e-15,4,1.0,0,-216.08707414847197,-0.20008694066972665,-0.9999833959434814,-1
128,102.83900505235202,60.11922528638481,60119.22528638481,3.0256367990121168e-15,1.1102230246251565e-16,4,1.0,0,-227.8169066742547,-0.21121219983363454,-0.9999839345440261,-1
129,103.81278432111829,59.89173037276903,59891.73037276903,3.0371294872002835e-15,1.199040866595169e-14,4,1.0,0,-239.4057726982169,-0.22212559851598937,-0.9999844669633686,-1
130,104.78402754771939,59.653640904750205,59653.6409047502,1.4636406101282646e-15,1.0880185641326534e-14,4,1.0,0,-250.8534847691732,-0.2328264926714633,-0.9999849920986197,-1
131,105.75266678191282,59.40516951005627,59405.169510056265,1.3472823058348306e-15,1.1213252548714081e-14,4,1.0,0,-262.15996527115203,-0.24331468595746591,-0.999985508968689,-1
132,106.71864026786429,59.146528398786685,59146.528398786686,4.920632071675501e-15,8.770761894538737e-15,4,1.0,0,-273.32524038587115,-0.2535903995507186,-0.9999860167103412,-1
133,107.68189223809995,58.87792899104887,58877.928991048866,4.448771867475565e-15,1.2545520178264269e-14,4,1.0,0,-284.34943407044886,-0.2636542419761025,-0.9999865145734657,-1
134,108.6423726988901,58.59958157424686,58599.58157424686,1.2416398579509719e-15,1.1324274851176597e-14,4,1.0,0,-295.2327620864167,-0.2735071792140624,-0.9999870019155487,-1
135,109.60003720918338,58.3116949894175,58311.6949894175,2.869870703579946e-15,8.215650382226158e-15,4,1.0,0,-305.97552611167583,-0.2831505053185781,-0.9999874781958336,-1
136,110.55484665503968,58.01447634581721,58014.47634581721,1.6304111480824253e-15,7.327471962526033e-15,4,1.0,0,-316.5781079628214,-0.2925858137438119,-0.9999879429689327,-1

